"","distributor","gross","percent_change","theaters","per_theater","total_gross","days","date","movie"
"1","A24",186,195,3,62,5664763,131,2017-05-04,"20th Century Women"
"2","Lionsgate",1976,-10,42,47,1249233,28,2017-06-29,"3 Idiotas"
"3","Entertainment Studi…",10,-44,1,10,44307193,124,2017-10-17,"47 Meters Down"
"4","Atlas Distribution",48000,-28,398,121,172000,3,2017-09-10,"9/11"
"5","STX Entertainment",32523,-51,214,152,71891988,61,2017-12-31,"A Bad Moms Christmas"
"6","Freestyle Releasing",260,18,10,26,4550,7,2017-09-07,"A Boy Called Po"
"7","20th Century Fox",3158,-17,88,36,8077739,21,2017-03-09,"A Cure for Wellness"
"8","Universal",4785,29,103,46,64321890,105,2017-05-11,"A Dog’s Purpose"
"9","A24",2595,-32,21,124,1544924,52,2017-08-27,"A Ghost Story"
"10","Focus Features",3404,65,42,81,3740823,35,2017-01-26,"A Monster Calls"
"11","Pure Flix Entertain…",95,-17,4,24,2587072,77,2017-12-14,"A Question of Faith"
"12","Fox Searchlight",6847,16,57,120,3803698,63,2017-04-13,"A United Kingdom"
"13","Kino Lorber",5742,123,2,2871,8313,2,2017-05-06,"A Woman’s Life"
"14","Sony Pictures",236,-42,10,24,3470,7,2017-09-21,"Abracadabra"
"15","20th Century Fox",1813,4,38,48,74249538,98,2017-08-24,"Alien: Covenant"
"16","Lionsgate",6807,-12,94,72,44922302,49,2017-08-03,"All Eyez on Me"
"17","Open Road",426,-19,53,8,217644,14,2017-11-09,"All I See is You"
"18","Sony Pictures",3620,-26,55,66,5794030,59,2017-10-22,"All Saints"
"19","Sony Pictures",1749655,-16,2074,844,12712380,7,2017-12-31,"All the Money in the World"
"20","The Orchard",43,-48,2,22,20762,42,2017-05-18,"All These Sleepless Nights"
"21","Paramount Pictures",7588,12,120,63,40098064,65,2017-01-26,"Allied"
"22","Universal",8330,-23,169,49,42065185,56,2017-01-05,"Almost Christmas"
"23","Lionsgate",8965,11,159,56,36249674,56,2017-11-09,"American Assassin"
"24","Universal",3675,-6,73,50,51342000,77,2017-12-14,"American Made"
"25","Weinstein Co.",742,NA,10,74,742,1,2017-10-28,"Amityville: The Awakening"
"26","Paramount Vantage",8086,-5,80,101,3496795,42,2017-09-07,"An Inconvenient Sequel"
"27","Warner Bros.",2411,6,126,19,102092201,84,2017-11-02,"Annabelle: Creation"
"28","Paramount Pictures",11193,8,79,142,100546139,119,2017-03-09,"Arrival"
"29","20th Century Fox",2422,-6,57,42,54634144,72,2017-03-02,"Assassin’s Creed"
"30","Focus Features",8520,-14,153,56,51573925,63,2017-09-28,"Atomic Blonde"
"31","Great India Films",547924,-19,368,1489,18985794,17,2017-05-14,"Baahubali 2: The Conclusion"
"32","Sony Pictures",5795,-31,48,121,107816745,110,2017-10-15,"Baby Driver"
"33","Broad Green Pictures",1826,15,62,29,17774066,50,2017-01-11,"Bad Santa 2"
"34","FIP",8183,-12,93,88,1934699,21,2017-03-30,"Badrinath Ki Dulhania"
"35","Epic Pictures Group",56,33,1,56,4153,14,2017-12-14,"Badsville"
"36","Fox Searchlight",2567,11,27,95,12598957,70,2017-11-30,"Battle of the Sexes"
"37","Paramount Pictures",12875,12,125,103,58060186,64,2017-07-27,"Baywatch"
"38","Neon",610,-20,8,76,471286,56,2017-10-19,"Beach Rats"
"39","Roadside Attractions",169,22,3,56,7115854,118,2017-10-04,"Beatriz at Dinner"
"40","Walt Disney",10688,24,110,97,504014165,119,2017-07-13,"Beauty and the Beast"
"41","ArtAffects",150,-64,9,17,90388,20,2017-10-04,"Because of Grácia"
"42","Open Road",2594,5,70,37,12241072,56,2017-04-27,"Before I Fall"
"43","Smith Global Media",106,-31,4,27,890303,35,2017-01-05,"Believe"
"44","Argot Pictures",2298,-45,1,2298,113604,45,2017-12-31,"Big Sonia"
"45","GKIDS",252,20,1,252,13157,14,2017-12-28,"Birdboy: The Forgotten Children"
"46","BH Tilt",1690,NA,47,36,6901965,35,2017-09-28,"Birth of the Dragon"
"47","Roadside Attractions",89,35,2,45,557241,42,2017-04-06,"Bitter Harvest"
"48","Warner Bros.",10427,-48,75,139,91654512,87,2017-12-31,"Blade Runner 2049"
"49","Walt Disney",3239,59,43,75,13873211,77,2017-07-06,"Born in China"
"50","The Orchard",190,6,1,190,92627,70,2017-12-28,"BPM (Beats per Minute)"
"51","Annapurna Pictures",906,-7,17,53,2133158,42,2017-10-26,"Brad’s Status"
"52","Bleecker Street",907,85,3,302,489322,59,2017-12-10,"Breathe"
"53","Sony Pictures Classics",161000,NA,4,40250,161000,1,2017-11-24,"Call Me by Your Name"
"54","20th Century Fox",870,20,40,22,73883366,126,2017-10-05,"Captain Underpants: The First Epic"
"55","The Orchard",73,-23,1,73,18957,13,2017-04-12,"Carrie Pilby"
"56","Walt Disney",2888,7,83,35,152901115,140,2017-11-02,"Cars 3"
"57","Warner Bros.",2239,7,41,55,18600152,63,2017-05-25,"CHiPS"
"58","Hannover House",2176,464,3,725,9283,87,2017-03-12,"Chosen"
"59","The Orchard",33,NA,3,11,298525,90,2017-01-11,"Christine"
"60","Sony Pictures",5994,3,138,43,169100479,14555,2017-09-21,"Close Encounters Of The Third Kind"
"61","Walt Disney",1852339,-33,2104,880,179834199,40,2017-12-31,"Coco"
"62","Warner Bros.",8238,11,144,57,31016021,56,2017-02-09,"Collateral Beauty"
"63","Open Road",18306,-12,1002,18,2280004,14,2017-03-09,"Collide"
"64","Neon",212,112,2,106,3194575,98,2017-07-13,"Colossal"
"65","Paramount Pictures",244693,-33,1073,228,101791381,52,2017-12-31,"Daddy’s Home 2"
"66","UTV Communications",2030,-6,16,127,12391761,51,2017-02-09,"Dangal"
"67","Focus Features",1771920,-10,943,1879,18132857,40,2017-12-31,"Darkest Hour"
"68","CBS Films",1270,19,28,45,254536,28,2017-06-29,"Dean"
"69","Universal",7930,-7,109,73,264624300,175,2017-12-21,"Despicable Me 3"
"70","Annapurna Pictures",643,112,11,58,16790139,77,2017-10-12,"Detroit"
